Time Pressure Rate
0 0.00024960001 279.32 600000
1 0.00027600001 278.33 600000
2 0.0003024 277.46 600000
3 0.00033360001 276.55 600000
4 0.0003672 275.66 600000
5 0.00040320001 274.8 600000
6 0.000444 273.91 600000
7 0.00048719998 273.05 600000
8 0.00053760002 272.13 600000
9 0.00059040001 271.25 600000
10 0.0006504 270.33 600000
11 0.00071519997 269.42 600000
12 0.00078480004 268.53 600000
13 0.00086400006 267.59 600000
14 0.00095040002 266.66 600000
15 0.0010464001 265.7 600000
16 0.0011496 264.76 600000
17 0.0012648001 263.79 600000
18 0.001392 262.81 600000
19 0.0015312 261.83 600000
20 0.0016848 260.83 600000
21 0.0018527999 259.83 600000
22 0.0020375999 258.82 600000
23 0.0022415998 257.79 600000
24 0.0024648001 256.77 600000
25 0.0027120002 255.73 600000
26 0.0029831999 254.68 600000
27 0.0032807998 253.62 600000
28 0.0036096 252.56 600000
29 0.003972 251.48 600000
30 0.0043680002 250.4 600000
31 0.0048047998 249.32 600000
32 0.0052848002 248.22 600000
33 0.0058128 247.12 600000
34 0.0063959998 246.01 600000
35 0.0070343995 244.89 600000
36 0.0077376002 243.77 600000
37 0.0085127996 242.64 600000
38 0.0093623996 241.51 600000
39 0.0102984 240.37 600000
40 0.0113304 239.22 600000
41 0.0124632 238.07 600000
42 0.0137088 236.91 600000
43 0.0150792 235.75 600000
44 0.016586401 234.58 600000
45 0.0182472 233.41 600000
46 0.020071201 232.23 600000
47 0.022077601 231.04 600000
48 0.0242856 229.86 600000
49 0.026714399 228.66 600000
50 0.0293856 227.46 600000
51 0.032325599 226.26 600000
52 0.035556 225.05 600000
53 0.039112799 223.84 600000
54 0.043024801 222.62 600000
55 0.0473256 221.4 600000
56 0.052058402 220.17 600000
57 0.057264 218.94 600000
58 0.062990397 217.71 600000
59 0.0692904 216.47 600000
60 0.076219201 215.23 600000
61 0.0838416 213.98 600000
62 0.092224799 212.72 600000
63 0.101448 211.47 600000
64 0.1115928 210.2 600000
65 0.1227528 208.94 600000
66 0.1350264 207.66 600000
67 0.1485288 206.39 600000
68 0.16338241 205.11 600000
69 0.17972161 203.82 600000
70 0.1976928 202.53 600000
71 0.21746159 201.24 600000
72 0.23920801 199.93 600000
73 0.26312879 198.63 600000
74 0.28944242 197.32 600000
75 0.31838638 196.0 600000
76 0.35022479 194.68 600000
77 0.38524801 193.35 600000
78 0.42377281 192.02 600000
79 0.4661496 190.68 600000
80 0.51276481 189.34 600000
81 0.56404078 187.99 600000
82 0.62044561 186.64 600000
83 0.68249041 185.28 600000
84 0.75073922 183.91 600000
85 0.82581365 182.54 600000
86 0.90839517 181.16 600000
87 0.99923527 179.77 600000
88 1.0991592 178.38 600000
89 1.2090744 176.98 600000
90 1.3299816 175.57 600000
91 1.46298 174.16 600000
92 1.6092768 172.73 600000
93 1.7702039 171.3 600000
94 1.9472256 169.87 600000
95 2.1419473 168.42 600000
96 2.3561423 166.97 600000
97 2.5917575 165.51 600000
98 2.8509336 164.04 600000
99 3.1360273 162.56 600000
100 3.4496279 161.08 600000
101 3.7945919 159.58 600000
102 4.1740513 158.07 600000
103 4.5914569 156.56 600000
104 5.0506005 155.03 600000
105 5.5556617 153.49 600000
106 6.111228 151.94 600000
107 6.722352 150.38 600000
108 7.394587 148.81 600000
109 8.1340446 147.23 600000
110 8.9474497 145.64 600000
111 9.8421936 144.03 600000
112 10.826414 142.41 600000
113 11.909055 140.78 600000
114 13.09996 139.13 600000
115 14.409957 137.47 600000
116 15.850951 135.45 600000
117 17.436049 133.7 600000
118 19.179653 131.95 600000
119 21.097618 130.19 600000
120 23.207378 128.41 600000
121 25.528114 126.62 600000
122 25.528366 133.96 400000
123 25.528393 134.59 400000
124 25.528421 135.12 400000
125 25.52845 135.57 400000
126 25.528484 136.03 400000
127 25.528519 136.46 400000
128 25.528559 136.89 400000
129 25.528605 137.32 400000
130 25.528652 137.74 400000
131 25.528708 138.16 400000
132 25.528767 138.59 400000
133 25.528831 139.02 400000
134 25.528902 139.45 400000
135 25.528982 139.88 400000
136 25.529068 140.32 400000
137 25.529163 140.76 400000
138 25.529268 141.2 400000
139 25.529383 141.65 400000
140 25.529509 142.1 400000
141 25.529646 142.56 400000
142 25.5298 143.02 400000
143 25.529968 143.49 400000
144 25.530151 143.96 400000
145 25.530357 144.44 400000
146 25.530584 144.92 400000
147 25.53083 145.4 400000
148 25.531101 145.89 400000
149 25.531399 146.38 400000
150 25.531729 146.87 400000
151 25.532089 147.37 400000
152 25.532484 147.87 400000
153 25.532921 148.37 400000
154 25.533401 148.88 400000
155 25.533932 149.38 400000
156 25.534512 149.89 400000
157 25.535152 150.41 400000
158 25.535858 150.92 400000
159 25.536629 151.44 400000
160 25.537479 151.95 400000
161 25.538418 152.47 400000
162 25.539448 152.99 400000
163 25.540577 153.51 400000
164 25.541824 154.03 400000
165 25.543198 154.56 400000
166 25.544704 155.08 400000
167 25.546364 155.6 400000
168 25.548187 156.12 400000
169 25.550198 156.65 400000
170 25.552406 157.17 400000
171 25.554832 157.7 400000
172 25.557503 158.22 400000
173 25.560442 158.74 400000
174 25.563675 159.26 400000
175 25.567228 159.79 400000
176 25.571142 160.31 400000
177 25.575445 160.83 400000
178 25.580177 161.35 400000
179 25.585381 161.87 400000
180 25.59111 162.39 400000
181 25.597406 162.9 400000
182 25.604336 163.42 400000
183 25.611958 163.94 400000
184 25.620342 164.45 400000
185 25.629564 164.96 400000
186 25.639709 165.48 400000
187 25.650867 165.99 400000
188 25.663143 166.49 400000
189 25.676647 167.0 400000
190 25.6915 167.51 400000
191 25.70784 168.01 400000
192 25.725811 168.51 400000
193 25.745579 169.01 400000
194 25.767326 169.51 400000
195 25.791246 170.0 400000
196 25.817562 170.5 400000
197 25.846504 170.99 400000
198 25.878345 171.48 400000
199 25.913366 171.96 400000
200 25.951889 172.44 400000
201 25.994267 172.92 400000
202 26.040882 173.4 400000
203 26.092159 173.87 400000
204 26.148565 174.34 400000
205 26.210609 174.8 400000
206 26.278856 175.26 400000
207 26.35393 175.72 400000
208 26.43651 176.17 400000
209 26.527351 176.61 400000
210 26.627274 177.05 400000
211 26.73719 177.48 400000
212 26.858099 177.91 400000
213 26.991096 178.32 400000
214 27.137394 178.74 400000
215 27.298321 179.14 400000
216 27.475342 179.53 400000
217 27.670067 179.91 400000
218 27.884262 180.29 400000
219 28.119873 180.65 400000
220 28.379051 181.0 400000
221 28.664143 181.34 400000
222 28.977745 181.66 400000
223 29.322708 181.97 400000
224 29.702168 182.27 400000
225 30.119574 182.54 400000
226 30.57872 182.8 400000
227 31.083782 183.04 400000
228 31.639347 183.26 400000
229 32.250469 183.46 400000
230 32.922703 183.64 400000
231 33.662163 183.8 400000
232 34.475567 183.93 400000
233 35.370312 184.03 400000
234 36.35453 184.11 400000
235 37.437172 184.16 400000
236 38.628075 184.18 400000
237 39.938072 184.18 400000
238 41.37907 184.14 400000
239 42.964165 184.08 400000
240 44.707771 183.98 400000
241 46.625732 183.84 400000
