Time Pressure Rate
0 0.00024960001 286.22 400000
1 0.00027600001 285.56 400000
2 0.0003024 284.99 400000
3 0.00033360001 284.38 400000
4 0.0003672 283.79 400000
5 0.00040320001 283.22 400000
6 0.000444 282.63 400000
7 0.00048719998 282.05 400000
8 0.00053760002 281.44 400000
9 0.00059040001 280.86 400000
10 0.0006504 280.25 400000
11 0.00071519997 279.65 400000
12 0.00078480004 279.06 400000
13 0.00086400006 278.44 400000
14 0.00095040002 277.82 400000
15 0.0010464001 277.19 400000
16 0.0011496 276.57 400000
17 0.0012648001 275.93 400000
18 0.001392 275.28 400000
19 0.0015312 274.63 400000
20 0.0016848 273.98 400000
21 0.0018527999 273.32 400000
22 0.0020375999 272.65 400000
23 0.0022415998 271.98 400000
24 0.0024648001 271.31 400000
25 0.0027120002 270.62 400000
26 0.0029831999 269.93 400000
27 0.0032807998 269.24 400000
28 0.0036096 268.55 400000
29 0.003972 267.84 400000
30 0.0043680002 267.14 400000
31 0.0048047998 266.43 400000
32 0.0052848002 265.71 400000
33 0.0058128 265.0 400000
34 0.0063959998 264.27 400000
35 0.0070343995 263.55 400000
36 0.0077376002 262.82 400000
37 0.0085127996 262.09 400000
38 0.0093623996 261.35 400000
39 0.0102984 260.61 400000
40 0.0113304 259.87 400000
41 0.0124632 259.12 400000
42 0.0137088 258.38 400000
43 0.0150792 257.63 400000
44 0.016586401 256.88 400000
45 0.0182472 256.12 400000
46 0.020071201 255.36 400000
47 0.022077601 254.6 400000
48 0.0242856 253.84 400000
49 0.026714399 253.08 400000
50 0.0293856 252.31 400000
51 0.032325599 251.54 400000
52 0.035556 250.77 400000
53 0.039112799 250.0 400000
54 0.043024801 249.22 400000
55 0.0473256 248.45 400000
56 0.052058402 247.67 400000
57 0.057264 246.89 400000
58 0.062990397 246.11 400000
59 0.0692904 245.33 400000
60 0.076219201 244.54 400000
61 0.0838416 243.76 400000
62 0.092224799 242.97 400000
63 0.101448 242.18 400000
64 0.1115928 241.39 400000
65 0.1227528 240.6 400000
66 0.1350264 239.8 400000
67 0.1485288 239.01 400000
68 0.16338241 238.21 400000
69 0.17972161 237.41 400000
70 0.1976928 236.61 400000
71 0.21746159 235.81 400000
72 0.23920801 235.01 400000
73 0.26312879 234.21 400000
74 0.28944242 233.4 400000
75 0.31838638 232.6 400000
76 0.35022479 231.79 400000
77 0.38524801 230.98 400000
78 0.42377281 230.17 400000
79 0.4661496 229.35 400000
80 0.51276481 228.54 400000
81 0.56404078 227.73 400000
82 0.62044561 226.91 400000
83 0.68249041 226.09 400000
84 0.75073922 225.27 400000
85 0.82581365 224.45 400000
86 0.90839517 223.63 400000
87 0.99923527 222.8 400000
88 1.0991592 221.98 400000
89 1.2090744 221.15 400000
90 1.3299816 220.32 400000
91 1.46298 219.49 400000
92 1.6092768 218.66 400000
93 1.7702039 217.82 400000
94 1.9472256 216.99 400000
95 2.1419473 216.15 400000
96 2.3561423 215.31 400000
97 2.5917575 214.47 400000
98 2.8509336 213.63 400000
99 3.1360273 212.79 400000
100 3.4496279 211.94 400000
101 3.7945919 211.09 400000
102 4.1740513 210.24 400000
103 4.5914569 209.39 400000
104 5.0506005 208.54 400000
105 5.5556617 207.68 400000
106 6.111228 206.83 400000
107 6.722352 205.97 400000
108 7.394587 205.11 400000
109 8.1340446 204.25 400000
110 8.9474497 203.38 400000
111 9.8421936 202.52 400000
112 10.826414 201.65 400000
113 11.909055 200.78 400000
114 13.09996 199.9 400000
115 14.409957 199.03 400000
116 15.850951 198.07 400000
117 17.436049 197.17 400000
118 19.179653 196.28 400000
119 21.097618 195.38 400000
120 23.207378 194.49 400000
121 25.528114 193.59 400000
122 25.528366 206.65 0
123 25.528393 207.52 0
124 25.528421 208.35 0
125 25.52845 209.06 0
126 25.528484 209.79 0
127 25.528519 210.49 0
128 25.528559 211.2 0
129 25.528605 211.9 0
130 25.528652 212.57 0
131 25.528708 213.24 0
132 25.528767 213.93 0
133 25.528831 214.61 0
134 25.528902 215.3 0
135 25.528982 215.99 0
136 25.529068 216.68 0
137 25.529163 217.37 0
138 25.529268 218.09 0
139 25.529383 218.8 0
140 25.529509 219.51 0
141 25.529646 220.23 0
142 25.5298 220.95 0
143 25.529968 221.68 0
144 25.530151 222.41 0
145 25.530357 223.15 0
146 25.530584 223.89 0
147 25.53083 224.65 0
148 25.531101 225.41 0
149 25.531399 226.17 0
150 25.531729 226.94 0
151 25.532089 227.7 0
152 25.532484 228.47 0
153 25.532921 229.24 0
154 25.533401 230.02 0
155 25.533932 230.8 0
156 25.534512 231.58 0
157 25.535152 232.38 0
158 25.535858 233.17 0
159 25.536629 233.96 0
160 25.537479 234.75 0
161 25.538418 235.54 0
162 25.539448 236.34 0
163 25.540577 237.13 0
164 25.541824 237.94 0
165 25.543198 238.74 0
166 25.544704 239.54 0
167 25.546364 240.34 0
168 25.548187 241.15 0
169 25.550198 241.95 0
170 25.552406 242.75 0
171 25.554832 243.56 0
172 25.557503 244.37 0
173 25.560442 245.17 0
174 25.563675 245.97 0
175 25.567228 246.78 0
176 25.571142 247.58 0
177 25.575445 248.38 0
178 25.580177 249.19 0
179 25.585381 250.0 0
