MSE;MAE;MAPE;Pred_MSE;Pred_MAE;Pred_MAPE;AOF;PARAMETERS; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
359.90321833732395;13.859849040637203;4.9814332002146005;10085.718796054085;80.40980340454217;54.73365068728563;-14.353166580200195;IM;0;2;0;0;0;0;1;16;0.0;0.0;[150];[32];0;1;[50];50
753.3020942156305;21.255552117845316;8.693111530089064;11687.75849161377;86.87391836681603;58.67707153374224;-27.56161117553711;IM;0;2;0;0;0;0;1;16;0.0;0.0;[150];[32];0;1;[50];50
512.889614598839;16.671717371445098;6.290691126275594;7084.7611074723945;70.48911845002527;46.211494377403405;60.276546478271484;IM;0;2;0;0;0;0;1;16;0.0;0.0;[150];[32];0;1;[50];50
12213.474517328494;68.44973093046711;32.61224360881864;10187.608337068745;82.46312315241212;55.08325264570251;-10.953495979309082;IM;0;2;0;0;0;0;1;16;0.0;0.0;[150];[32];0;1;[50];50
440.0199818476885;17.202094955548382;6.564555231518063;2226.5746608608806;42.730764901625925;26.821936690006748;232.61471557617188;IM;0;2;0;0;0;0;1;16;0.0;0.0;[150];[32];0;1;[50];50
421.89337282487827;17.082416141352585;6.532788522011653;10759.252930205168;84.11336650345616;56.508247566119735;108.62577819824219;IM;0;2;0;0;0;0;1;16;0.0;0.0;[150];[32];0;1;[50];50
443.08248221926186;18.60476138772516;7.268936894410723;11271.48994026596;84.38273495462263;57.33625055775315;-2.9720029830932617;IM;0;2;0;0;0;0;1;16;0.0;0.0;[150];[32];0;1;[50];50
436.7171124564399;17.290039000162853;6.625415824683806;11356.613294731304;86.38158924569031;58.03861028704934;-24.34071159362793;IM;0;2;0;0;0;0;1;16;0.0;0.0;[150];[32];0;1;[50];50
426.16055790178456;16.62025454084399;6.269500057956676;9329.629806434868;79.40334953163166;52.80951952098995;10.097493171691895;IM;0;2;0;0;0;0;1;16;0.0;0.0;[150];[32];0;1;[50];50
394.8745179961852;15.000589181118386;5.455629014391566;9316.038491553498;79.11754584287974;52.70922997080188;31.48419952392578;IM;0;2;0;0;0;0;1;16;0.0;0.0;[150];[32];0;1;[50];50
